Gene1	Gene2
ACAA2	HMGCL
ACAA2	HMGCS1
ACAA2	HMGCS2
ACAA2	HSD17B10
ACAA2	HSD17B4
ACAA2	HSD3B7
ACAA2	MLYCD
ACAA2	PCCA
ACAA2	PCCB
ACAA2	RDH11
ACAA2	RDH12
ACAA2	RDH13
ACAA2	RDH14
ACAA2	SLC27A5
ACACA	ACACB
ACACA	ACAT1
ACACA	ACAT2
ACACA	ACLY
ACACA	ACOT12
ACACA	ACSS1
ACACA	ACSS2
ACACA	AKR1B10
ACACA	ALDH6A1
ACACA	BRCA1
ACACA	CHGB
ACACA	CS
ACACA	DLAT
ACACA	E2F1
ACACA	FASN
ACACA	HADHB
ACACA	HLCS
ACACA	HMGCL
ACACA	HMGCS1
ACACA	HMGCS2
ACACA	HSD3B7
ACACA	MLLT1
ACACA	MLLT3
ACACA	MLYCD
ACACA	NPM1
ACACA	PRKAA2
ACACA	RDH11
ACACA	RDH12
ACACA	RDH13
ACACA	RDH14
ACACA	SIRT1
ACACA	SPCS1
ACACA	SREBF1
ACACB	ACAT1
ACACB	ACAT2
ACACB	ACLY
ACACB	ACOT12
ACACB	ACSS1
ACACB	ACSS2
ACACB	AKR1B10
ACACB	ALDH6A1
ACACB	CS
ACACB	DLAT
ACACB	FASN
ACACB	HADHB
ACACB	HLCS
ACACB	HMGCL
ACACB	HMGCS1
ACACB	HMGCS2
ACACB	HSD3B7
ACACB	MLYCD
ACACB	RDH11
ACACB	RDH12
ACACB	RDH13
ACACB	RDH14
ACACB	SPCS1
ACAD10	ELF1
ACAD10	NR2C2
ACAD8	FASTK
ACAD8	FOXA1
ACAD8	NR2C2
ACAD8	SLC27A5
ACAD8	STK11
ACAD8	TTK
ACAD8	ZNF143
ACAD9	ATF3
ACAD9	E2F6
ACAD9	ICT1
ACAD9	JUND
ACAD9	MAX
ACAD9	NRF1
ACAD9	OTUD7B
ACAD9	SLC27A5
ACADL	ZNF263
ACADM	ACSS1
ACADM	ACSS2
ACADM	ALDH6A1
ACADM	DBT
ACADM	ECHS1
ACADM	EHHADH
ACADM	HADHA
ACADM	HADHB
ACADM	MCCC1
ACADM	MCCC2
ACADM	NEK6
ACADM	PCCA
ACADM	PCCB
ACADM	RPS6KB1
ACADM	TYK2
ACADM	USP20
ACADM	USP50
ACADS	ACOX1
ACADS	ACOX3
ACADS	ACSM1
ACADSB	CHD2
ACADSB	USP19
ACADSB	ZBTB33
